ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
     ,5.0,0.0,0,0,4,0
10000,18.0,1.0,4,0,12,1
10001,84.0,6.0,7,1,55,2
10002,73.0,6.0,8,1,43,0
10003,69.0,2.0,8,1,46,0
10004,25.0,2.0,2,0,17,0
10005,21.0,0.0,3,0,10,0
10006,19.0,0.0,2,0,12,0
10007,37.0,2.0,7,1,25,0
10009,60.0,3.0,5,1,45,0
10010,79.0,4.0,6,1,58,0
10011,66.0,2.0,3,0,43,0
10012,41.0,2.0,6,0,26,1
10013,65.0,4.0,6,1,41,1
10014,52.0,8.0,5,2,38,0
10016,70.0,4.0,6,1,40,1
10017,64.0,4.0,5,1,39,1
10018,66.0,4.0,7,1,45,1
10019,57.0,3.0,8,1,36,1
10020,18.0,0.0,2,0,14,0
10021,39.0,3.0,6,0,26,1
10022,42.0,4.0,6,1,35,1
10023,45.0,3.0,5,0,23,1
10024,60.0,2.0,8,1,44,0
10025,42.0,4.0,5,1,26,0
10026,55.0,3.0,5,0,37,2
10027,76.0,5.0,5,1,64,2
10028,45.0,2.0,4,1,28,0
10029,69.0,7.0,6,1,51,2
10030,66.0,1.0,6,0,55,1
10031,72.0,4.0,5,0,54,3
10032,69.0,4.0,5,1,53,2
10033,57.0,5.0,5,0,42,3
10034,50.0,4.0,3,0,37,1
10035,111.0,6.0,6,1,90,2
10036,119.0,4.0,9,1,63,1
10037,50.0,3.0,5,0,39,1
10038,33.0,1.0,2,0,23,0
10039,51.0,1.0,4,0,38,0
10040,45.0,4.0,4,0,29,3
10041,1.0,0.0,0,0,1,0
10044,1.0,0.0,0,0,1,0
10045,2.0,0.0,0,0,2,0
10048,1.0,0.0,0,0,1,0
10055,1.0,0.0,0,0,0,0
10065,35.0,4.0,1,1,29,0
10069,9.0,0.0,3,0,3,0
10075,27.0,2.0,3,0,16,0
10103,2.0,0.0,1,0,0,0
10105,4.0,0.0,1,0,2,0
10106,2.0,0.0,0,0,1,0
10107,1.0,0.0,0,0,0,0
10110,3.0,0.0,1,0,1,0
10111,2.0,0.0,0,0,2,0
10112,2.0,0.0,1,0,0,0
10115,0.0,0.0,0,0,0,0
10118,3.0,0.0,1,0,1,0
10119,5.0,0.0,1,0,1,0
10120,2.0,0.0,1,0,0,0
10121,3.0,0.0,1,0,1,0
10122,1.0,0.0,0,0,0,0
10123,3.0,0.0,1,0,1,0
10128,42.0,5.0,3,0,32,3
10151,0.0,0.0,0,0,0,0
10152,0.0,0.0,0,0,0,0
10153,3.0,0.0,1,0,1,0
10154,0.0,0.0,0,0,0,0
10155,3.0,0.0,1,0,1,0
10158,0.0,0.0,0,0,0,0
10162,0.0,0.0,0,0,0,0
10165,3.0,0.0,1,0,1,0
10166,0.0,0.0,0,0,0,0
10167,2.0,0.0,0,0,2,0
10168,17.0,0.0,2,0,6,0
10169,8.0,0.0,1,0,6,0
10170,2.0,0.0,1,0,0,0
10171,0.0,0.0,0,0,0,0
10172,5.0,0.0,1,0,3,0
10173,0.0,0.0,0,0,0,0
10174,3.0,0.0,1,0,0,0
10176,2.0,0.0,1,0,1,0
10177,2.0,0.0,0,0,2,0
10178,3.0,0.0,1,0,1,0
10179,1.0,0.0,0,0,0,0
10271,5.0,0.0,2,0,2,0
10278,9.0,0.0,1,0,7,0
10279,0.0,0.0,0,0,0,0
10280,11.0,1.0,1,0,7,0
10281,5.0,1.0,1,0,1,1
10282,8.0,0.0,1,0,6,0
10301,117.0,3.0,4,0,97,2
10302,32.0,2.0,1,0,24,1
10303,22.0,1.0,1,0,17,1
10304,83.0,5.0,5,0,63,3
10305,46.0,6.0,1,1,34,2
10306,67.0,7.0,1,1,54,3
10307,24.0,2.0,1,0,13,1
10308,40.0,5.0,2,1,32,2
10309,60.0,5.0,1,0,55,4
10310,92.0,4.0,2,1,85,2
10312,65.0,9.0,2,0,59,5
10314,28.0,3.0,1,0,22,2
10451,133.0,5.0,6,1,105,3
10452,72.0,6.0,5,1,53,3
10453,74.0,4.0,10,1,46,3
10454,116.0,6.0,7,1,92,2
10455,72.0,3.0,5,1,53,1
10456,100.0,7.0,6,1,63,1
10457,164.0,4.0,5,1,141,1
10458,90.0,3.0,5,0,62,1
10459,95.0,3.0,4,0,65,2
10460,107.0,4.0,4,1,83,1
10461,62.0,7.0,4,1,46,5
10462,70.0,4.0,5,1,55,1
10463,86.0,6.0,4,1,70,3
10464,55.0,2.0,4,1,46,1
10465,39.0,4.0,3,0,32,3
10466,90.0,4.0,4,0,75,2
10467,114.0,7.0,4,1,88,4
10468,79.0,4.0,6,0,47,2
10469,88.0,6.0,3,1,75,4
10470,53.0,3.0,3,0,39,2
10471,44.0,3.0,4,0,35,2
10472,65.0,7.0,4,1,53,4
10473,70.0,3.0,5,0,54,1
10474,79.0,5.0,1,1,75,3
10475,65.0,3.0,1,0,51,2
10803,1.0,0.0,0,0,1,0
11001,25.0,0.0,1,0,21,0
11004,43.0,4.0,1,0,35,2
11005,9.0,1.0,0,0,8,1
11040,22.0,1.0,1,0,17,0
11101,100.0,6.0,7,1,83,2
11102,35.0,3.0,3,1,27,1
11103,53.0,2.0,5,0,27,1
11104,46.0,4.0,5,1,33,2
11105,68.0,10.0,4,1,34,7
11106,87.0,8.0,4,1,63,4
11109,7.0,0.0,2,0,4,0
11201,67.0,5.0,7,1,57,3
11203,201.0,8.0,6,1,163,6
11204,87.0,8.0,5,0,69,4
11205,71.0,5.0,5,1,44,1
11206,99.0,5.0,7,1,72,3
11207,173.0,11.0,6,1,133,6
11208,138.0,10.0,7,1,114,3
11209,35.0,2.0,4,0,22,1
11210,113.0,3.0,6,0,81,1
11211,80.0,6.0,9,1,59,2
11212,136.0,9.0,6,1,113,6
11213,139.0,8.0,5,1,120,3
11214,81.0,6.0,8,1,61,2
11215,85.0,6.0,10,1,59,2
11216,123.0,7.0,6,1,101,4
11217,89.0,5.0,5,2,70,0
11218,68.0,8.0,8,2,53,3
11219,59.0,3.0,5,1,39,1
11220,73.0,5.0,6,2,54,2
11221,130.0,2.0,6,1,111,0
11222,37.0,5.0,3,1,28,3
11223,69.0,8.0,6,1,48,4
11224,63.0,4.0,4,0,47,2
11225,116.0,4.0,9,1,96,1
11226,123.0,4.0,7,1,102,1
11228,34.0,4.0,1,0,28,2
11229,42.0,8.0,4,1,26,2
11230,61.0,7.0,9,2,41,3
